Service category,Service type,Custom name,Description
Compute,Virtual Machines,VM Servidor de Aplicación,"1 DC16ds v3 (16 Cores, 128 GB RAM) x 730 Horas (Pay as you go), Windows (Licencia incluida)"
Almacenamiento,Managed Disks,OS Servidor de Aplicación (512GB),"Managed Disks, SSD Premium, LRS Redundancia, P20 Tipo de disco 1 Discos; Pago por uso"
Almacenamiento,Managed Disks,APP Servidor de Aplicación (1TB),"Managed Disks, SSD Premium, LRS Redundancia, P30 Tipo de disco 1 Discos; Pago por uso"
Almacenamiento,Managed Disks,Logs Servidor de Aplicación (512GB),"Managed Disks, SSD Premium, LRS Redundancia, P20 Tipo de disco 1 Discos; Pago por uso"
Compute,Virtual Machines,VM Servidor de Base de Datos,"1 D8as v5 (8 vCPUs, 32 GB RAM) x 730 Horas (Pay as you go), Windows (Licencia incluida), SQL Standard (Pay as you go)"
Almacenamiento,Managed Disks,OS Servidor de Base de Datos (512GB),"Managed Disks, SSD Premium, LRS Redundancia, P20 Tipo de disco 1 Discos; Pago por uso"
Almacenamiento,Managed Disks,DB Servidor de Base de Datos (2TB),"Managed Disks, SSD Premium, LRS Redundancia, P40 Tipo de disco 1 Discos; Pago por uso"
Almacenamiento,Managed Disks,Logs Servidor de Base de Datos(512GB),"Managed Disks, SSD Premium, LRS Redundancia, P20 Tipo de disco 1 Discos; Pago por uso"
Redes,Application Gateway,WAF(Reverse Proxy),"nivel de Estándar V2, 730 puerta de enlace fija Horas, 1 unidades de proceso y 1000 conexiones persistentes con rendimiento 1 de MB/s, transferencia de datos 250 GB"
Redes,IP Addresses,IP Public,"Estándar (ARM), 0 direcciones IP estáticas X 730 Horas, 1 prefijos de DIRECCIONES IP públicas X 730 Horas"
Redes,VPN Gateway,,"Puertas de enlace de VPN, VpnGw1 nivel, 730 horas de puerta de enlace, "
Redes,Azure Bastion,,"Nivel Basic, 730 Horas, 5 GB Transferencia de datos de salida"
Administración y Gobernanza,Azure Backup,,"VM de Azure, Estándar Directiva de Backup, 2 Instancia(s) x 1000 GB, LRS Redundancia, Moderado Renovación diaria media, 3800 GB Promedio de datos de copia de seguridad mensuales "
DevOps,Azure Monitor,,"Log Analytics: Log Data Ingestion: 10 GB Daily Auxiliary Logs without processing, 0 GB Daily Auxiliary Logs with "
Redes,Bandwidth,,"Salida a Internet, 500 GB de transferencia de datos de salida de Mexico Central con enrutamiento a través de Internet pública"
