ID,Fase,Área,Actividad,Descripción / Objetivo,Herramienta,Entregable,Responsable,Duración estimada,Dependencia,Riesgo / Notas
F0-01,0. Preparación,Gobierno,Kick-off y definición de alcance,"Confirmar alcance: AD DS y Entra Connect irrecuperables; el tenant pasa a Cloud-Only. Definir ventanas, stakeholders y criterios de éxito",Reunión,Acta de kick-off y matriz RACI,PM / Arquitecto,1 día,,Documentar formalmente que no hay retorno a sincronización
F0-02,0. Preparación,Accesos,Validar cuentas administrativas cloud-only (break-glass),Asegurar al menos 2 cuentas Global Admin cloud-only (*.onmicrosoft.com) excluidas de Acceso Condicional,Graph PowerShell,Lista de admins y confirmación de break-glass,Admin M365,0.5 día,F0-01,"Si todos los admins son sincronizados, crear break-glass ANTES de cualquier cambio"
F0-03,0. Preparación,Herramientas,Instalar módulos PowerShell,Preparar estación de trabajo con Microsoft Graph (v1 y Beta) y ExchangeOnlineManagement,PowerShell,Estación de trabajo lista,Admin M365,0.5 día,,
F1-01,1. Assessment,Entra ID,Estado de sincronización del tenant,Confirmar DirSync habilitado y fecha de última sincronización (evidencia de que Entra Connect ya no opera),Graph PowerShell,Evidencia de estado de sync,Admin M365,0.5 día,F0-03,
F1-02,1. Assessment,Entra ID,Features de sincronización habilitadas,"Identificar PHS, Password Writeback, Device Writeback, Group Writeback, etc.",Graph PowerShell,Reporte de features,Admin M365,0.5 día,F0-03,Password Writeback / SSPR con writeback deja de funcionar sin Entra Connect
F1-03,1. Assessment,Entra ID,Dominios y método de autenticación,Identificar dominios Managed vs Federated y política de expiración de contraseña,Graph PowerShell,Dominios.csv,Admin M365,0.5 día,F0-03,CRÍTICO: dominio Federated (AD FS caído) = usuarios sin login. Ver F2-03
F1-04,1. Assessment,Entra ID,Validar Pass-Through Authentication / Seamless SSO,Revisar si PTA o Seamless SSO están habilitados y el estado de los agentes,Portal Entra,Captura de estado PTA/SSO,Admin M365,0.5 día,F0-03,CRÍTICO: PTA habilitado con agentes caídos impide la autenticación. Escalar con Microsoft Support si aplica
F1-05,1. Assessment,Entra ID,Inventario de usuarios sincronizados,Exportar usuarios con OnPremisesSyncEnabled=true y atributos on-prem,Graph PowerShell,Usuarios_Sync.csv (baseline),Admin M365,1 día,F0-03,Guardar como baseline pre-cambio
F1-06,1. Assessment,Entra ID,Inventario de usuarios cloud-only existentes,"Identificar cuentas ya nativas en la nube (admins, servicio, invitados)",Graph PowerShell,Usuarios_Cloud.csv,Admin M365,0.5 día,F0-03,
F1-07,1. Assessment,Entra ID,Inventario de grupos sincronizados,"Grupos de seguridad y distribución sincronizados; identificar los usados para licencias, CA y permisos",Graph PowerShell,Grupos_Sync.csv,Admin M365,0.5 día,F0-03,
F1-08,1. Assessment,Entra ID,Membresías de grupos sincronizados,Respaldar membresías (evidencia para reconstrucción),Graph PowerShell,Membresias_Sync.csv,Admin M365,0.5 día,F1-07,
